,quad_ID,synchrony,site,SiteCluster,ecosystem,treatment,block,plot,subplot,web,transect,synchrony.Gross,sd,mu,CV,biomass_stability,biomass_stability2,year_count,season
1,core_black_1_NA_C_NA_E_NA_1,0.386051065,core_black,FivePoints,Desert grassland,C,NA,E,NA,1,NA,0.054822151,31.5768321,54.69377229,0.577338713,1.732085477,3.000120099,24,spring
2,core_black_1_NA_C_NA_E_NA_3,0.375852921,core_black,FivePoints,Desert grassland,C,NA,E,NA,1,NA,0.050804279,28.47608088,52.69352609,0.540409477,1.850448673,3.424160292,23,spring
3,core_black_1_NA_C_NA_N_NA_1,0.382675903,core_black,FivePoints,Desert grassland,C,NA,N,NA,1,NA,0.19895315,35.1291516,51.06275122,0.687960416,1.453572002,2.112871566,24,spring
4,core_black_1_NA_C_NA_N_NA_3,0.495784888,core_black,FivePoints,Desert grassland,C,NA,N,NA,1,NA,0.171865283,60.68310968,74.92943002,0.809870163,1.234765826,1.524646644,24,spring
5,core_black_1_NA_C_NA_NE_NA_1,0.567648589,core_black,FivePoints,Desert grassland,C,NA,NE,NA,1,NA,0.385489209,27.36678153,38.03487647,0.719518086,1.389819129,1.931597211,13,spring
6,core_black_1_NA_C_NA_NE_NA_3,0.773727202,core_black,FivePoints,Desert grassland,C,NA,NE,NA,1,NA,0.358297398,35.37214512,53.16697072,0.665303,1.503074539,2.259233069,13,spring
7,core_black_1_NA_C_NA_S_NA_1,0.274899229,core_black,FivePoints,Desert grassland,C,NA,S,NA,1,NA,0.250760054,40.57108694,55.02298167,0.737348026,1.356211673,1.839310101,23,spring
8,core_black_1_NA_C_NA_S_NA_3,0.317558263,core_black,FivePoints,Desert grassland,C,NA,S,NA,1,NA,0.151840995,29.09948532,45.69316831,0.636845428,1.570239742,2.465652846,24,spring
9,core_black_1_NA_C_NA_W_NA_1,0.62839857,core_black,FivePoints,Desert grassland,C,NA,W,NA,1,NA,0.419629332,64.07290876,75.71899118,0.846193376,1.181762974,1.396563726,24,spring
10,core_black_1_NA_C_NA_W_NA_3,0.470800016,core_black,FivePoints,Desert grassland,C,NA,W,NA,1,NA,0.301619246,60.01986509,73.24882406,0.819396978,1.220409675,1.489399775,24,spring
11,core_black_2_NA_C_NA_E_NA_1,0.801405043,core_black,FivePoints,Desert grassland,C,NA,E,NA,2,NA,0.277313437,23.90571324,66.27506591,0.360704481,2.772352585,7.685938857,11,spring
12,core_black_2_NA_C_NA_E_NA_3,0.285632683,core_black,FivePoints,Desert grassland,C,NA,E,NA,2,NA,0.289176367,33.45854368,60.25692863,0.555264671,1.800942958,3.243395539,11,spring
13,core_black_2_NA_C_NA_N_NA_1,0.653170906,core_black,FivePoints,Desert grassland,C,NA,N,NA,2,NA,0.524517637,50.52059109,58.80118874,0.859176356,1.163905399,1.354675778,11,spring
14,core_black_2_NA_C_NA_N_NA_3,0.615856168,core_black,FivePoints,Desert grassland,C,NA,N,NA,2,NA,0.578062171,37.03311731,43.15173875,0.858206839,1.165220264,1.357738265,11,spring
15,core_black_2_NA_C_NA_S_NA_1,0.494639061,core_black,FivePoints,Desert grassland,C,NA,S,NA,2,NA,0.473490037,46.35665838,59.81138913,0.775047346,1.290243758,1.664728956,11,spring
16,core_black_2_NA_C_NA_S_NA_3,0.698434463,core_black,FivePoints,Desert grassland,C,NA,S,NA,2,NA,0.515655279,20.15538597,47.69801356,0.422562377,2.36651452,5.600390972,11,spring
17,core_black_2_NA_C_NA_W_NA_1,0.431140396,core_black,FivePoints,Desert grassland,C,NA,W,NA,2,NA,0.290926715,37.20371144,80.14765223,0.46418966,2.154291847,4.640973362,11,spring
18,core_black_2_NA_C_NA_W_NA_3,0.542862814,core_black,FivePoints,Desert grassland,C,NA,W,NA,2,NA,0.346619376,34.62047316,82.22079421,0.421067122,2.374918269,5.640236786,11,spring
19,core_black_3_NA_C_NA_E_NA_1,0.716874926,core_black,FivePoints,Desert grassland,C,NA,E,NA,3,NA,0.441387014,37.27410923,79.40357483,0.469426084,2.130260829,4.538011201,11,spring
20,core_black_3_NA_C_NA_E_NA_3,0.736396137,core_black,FivePoints,Desert grassland,C,NA,E,NA,3,NA,0.403164569,94.2126099,99.40099488,0.94780349,1.055071025,1.113174867,11,spring
21,core_black_3_NA_C_NA_N_NA_1,0.397624396,core_black,FivePoints,Desert grassland,C,NA,N,NA,3,NA,0.346109492,27.7348998,93.29633944,0.297277471,3.3638607,11.31555881,11,spring
22,core_black_3_NA_C_NA_N_NA_3,0.59765706,core_black,FivePoints,Desert grassland,C,NA,N,NA,3,NA,0.360820734,46.88318904,105.2150382,0.445593993,2.244195422,5.036413093,11,spring
23,core_black_3_NA_C_NA_S_NA_1,0.558230414,core_black,FivePoints,Desert grassland,C,NA,S,NA,3,NA,0.424621346,36.94809675,72.15058144,0.512097006,1.952755021,3.813252171,11,spring
24,core_black_3_NA_C_NA_S_NA_3,0.591015669,core_black,FivePoints,Desert grassland,C,NA,S,NA,3,NA,0.402332858,45.89399936,72.82085909,0.630231501,1.586718527,2.517675685,11,spring
25,core_black_3_NA_C_NA_W_NA_1,0.655719903,core_black,FivePoints,Desert grassland,C,NA,W,NA,3,NA,0.397588594,57.89970125,94.82648946,0.61058573,1.637771654,2.682295989,11,spring
26,core_black_3_NA_C_NA_W_NA_3,0.837432462,core_black,FivePoints,Desert grassland,C,NA,W,NA,3,NA,0.365094687,33.17274598,94.06693399,0.352650443,2.835669198,8.0410198,11,spring
